putnam_card_id,set_name,card_name,printed_number,product_id,product_name,status
pkm-ascended-heroes-67-217-f977dae4aa,Ascended Heroes,Tapu Koko,67/217,677046,Tapu Koko (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-67-217-f977dae4aa,Ascended Heroes,Tapu Koko,67/217,676906,Tapu Koko (Quick Ball),LINKED
pkm-ascended-heroes-68-217-f385893aea,Ascended Heroes,Hop's Pincurchin ex,68/217,675880,Hop's Pincurchin ex,LINKED
pkm-ascended-heroes-69-217-e48f6d115c,Ascended Heroes,Iono's Tadbulb,69/217,675881,Iono's Tadbulb,LINKED
pkm-ascended-heroes-69-217-e48f6d115c,Ascended Heroes,Iono's Tadbulb,69/217,677047,Iono's Tadbulb (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-69-217-e48f6d115c,Ascended Heroes,Iono's Tadbulb,69/217,676907,Iono's Tadbulb (Poke Ball),LINKED
pkm-ascended-heroes-70-217-7af9a77345,Ascended Heroes,Iono's Bellibolt ex,70/217,675882,Iono's Bellibolt ex - 070/217,SKIP_NAME_MISMATCH
pkm-ascended-heroes-71-217-284ac99443,Ascended Heroes,Iono's Wattrel,71/217,675883,Iono's Wattrel - 071/217,SKIP_NAME_MISMATCH
pkm-ascended-heroes-71-217-284ac99443,Ascended Heroes,Iono's Wattrel,71/217,677048,Iono's Wattrel - 071/217 (Energy Symbol Pattern),SKIP_NAME_MISMATCH
pkm-ascended-heroes-71-217-284ac99443,Ascended Heroes,Iono's Wattrel,71/217,676908,Iono's Wattrel - 071/217 (Poke Ball),SKIP_NAME_MISMATCH
pkm-ascended-heroes-72-217-bda475b793,Ascended Heroes,Iono's Kilowattrel,72/217,675884,Iono's Kilowattrel,LINKED
pkm-ascended-heroes-72-217-bda475b793,Ascended Heroes,Iono's Kilowattrel,72/217,677049,Iono's Kilowattrel (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-72-217-bda475b793,Ascended Heroes,Iono's Kilowattrel,72/217,676909,Iono's Kilowattrel (Poke Ball),LINKED
pkm-ascended-heroes-73-217-0577fa5ce1,Ascended Heroes,Miraidon ex,73/217,675885,Miraidon ex,LINKED
pkm-ascended-heroes-74-217-215bd72c6f,Ascended Heroes,Clefairy,74/217,675886,Clefairy,LINKED
pkm-ascended-heroes-74-217-215bd72c6f,Ascended Heroes,Clefairy,74/217,677050,Clefairy (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-74-217-215bd72c6f,Ascended Heroes,Clefairy,74/217,676910,Clefairy (Love Ball),LINKED
pkm-ascended-heroes-75-217-5eb6649590,Ascended Heroes,Clefable,75/217,675887,Clefable,LINKED
pkm-ascended-heroes-75-217-5eb6649590,Ascended Heroes,Clefable,75/217,677051,Clefable (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-75-217-5eb6649590,Ascended Heroes,Clefable,75/217,676911,Clefable (Love Ball),LINKED
pkm-ascended-heroes-76-217-99d0559bd0,Ascended Heroes,Lillie's Clefairy ex,76/217,675888,Lillie's Clefairy ex - 076/217,SKIP_NAME_MISMATCH
pkm-ascended-heroes-77-217-eccdf23af8,Ascended Heroes,Team Rocket's Exeggcute,77/217,675889,Team Rocket's Exeggcute,LINKED
pkm-ascended-heroes-77-217-eccdf23af8,Ascended Heroes,Team Rocket's Exeggcute,77/217,677052,Team Rocket's Exeggcute (Energy Symbol Pattern),LINKED
